service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20181209,20191214
2,1,1,1,1,1,1,1,20181209,20191214
3,1,1,1,1,1,1,1,20181209,20191214
4,1,1,1,1,1,1,1,20181209,20191214
5,1,1,1,1,1,1,1,20181209,20191214
6,1,1,1,1,1,0,1,20181209,20191214
7,1,1,1,1,1,0,0,20181209,20191214
8,1,1,1,1,1,0,0,20181209,20191214
9,1,1,1,1,1,0,0,20181209,20191214
10,1,1,1,1,1,1,1,20181209,20191214
11,1,1,1,1,1,0,0,20181209,20191214
12,1,1,1,1,1,0,0,20181209,20191214
13,1,1,1,1,1,0,1,20181209,20191214
14,1,1,1,1,1,1,0,20181209,20191214
15,1,1,1,1,1,0,0,20181209,20191214
16,1,1,1,1,1,0,0,20181209,20191214
17,1,1,1,1,1,1,0,20181209,20191214
18,1,1,1,1,1,1,1,20181209,20191214
19,1,1,1,1,1,1,1,20181209,20191214
20,1,1,1,1,1,1,1,20181209,20191214
21,1,1,1,1,1,1,1,20181209,20191214
22,1,1,1,1,1,1,1,20181209,20191214
23,1,1,1,1,1,0,0,20181209,20191214
24,1,1,1,1,1,1,1,20181209,20191214
25,1,1,1,1,1,0,0,20181209,20191214
26,1,1,1,1,1,1,0,20181209,20191214
27,1,1,1,1,1,0,1,20181209,20191214
28,1,1,1,1,1,0,0,20181209,20191214
29,1,1,1,1,1,1,0,20181209,20191214
30,1,1,1,1,1,1,1,20181209,20191214
31,1,1,1,1,1,0,0,20181209,20191214
32,1,1,1,1,1,1,1,20181209,20191214
33,1,1,1,1,1,0,0,20181209,20191214
34,1,1,1,1,1,1,1,20181209,20191214
35,1,1,1,1,1,1,1,20181209,20191214
36,1,1,1,1,1,0,1,20181209,20191214
37,1,1,1,1,1,1,1,20181209,20191214
38,1,1,1,1,1,1,1,20181209,20191214
39,1,1,1,1,1,1,1,20181209,20191214
40,1,1,1,1,1,0,1,20181209,20191214
41,1,1,1,1,1,1,1,20181209,20191214
42,1,1,1,1,1,1,1,20181209,20191214
43,1,1,1,1,1,1,1,20181209,20191214
44,1,1,1,1,1,0,0,20181209,20191214
45,0,0,0,0,0,1,0,20181209,20191214
46,1,1,1,1,1,1,1,20181209,20191214
47,1,1,1,1,1,1,1,20181209,20191214
48,1,1,1,1,1,0,0,20181209,20191214
49,1,1,1,1,1,1,1,20181209,20191214
50,1,1,1,1,1,0,1,20181209,20191214
51,1,1,1,1,1,1,1,20181209,20191214
52,1,1,1,1,1,1,1,20181209,20191214
53,1,1,1,1,1,1,1,20181209,20191214
54,1,1,1,1,1,1,1,20181209,20191214
55,1,1,1,1,1,1,1,20181209,20191214
56,1,1,1,1,1,1,1,20181209,20191214
57,1,1,1,1,1,1,1,20181209,20191214
58,1,0,0,0,0,1,1,20181209,20191214
59,1,1,1,1,1,1,1,20181209,20191214
60,1,1,1,1,1,1,1,20181209,20191214
61,1,1,1,1,1,1,1,20181209,20191214
62,1,1,1,1,1,0,1,20181209,20191214
63,1,1,1,1,1,1,1,20181209,20191214
64,1,1,1,1,1,1,1,20181209,20191214
65,1,0,0,0,0,1,1,20181209,20191214
66,1,1,1,1,1,1,1,20181209,20191214
67,1,1,1,1,1,1,1,20181209,20191214
68,1,1,1,1,1,1,1,20181209,20191214
69,1,1,1,1,1,0,0,20181209,20191214
70,1,1,1,1,1,1,1,20181209,20191214
71,1,1,1,1,1,1,1,20181209,20191214
72,1,1,1,1,1,1,1,20181209,20191214
73,0,0,0,0,0,0,0,20181209,20191214
74,1,1,1,1,1,0,0,20181209,20191214
75,0,0,0,0,0,0,1,20181209,20191214
76,1,1,1,1,1,1,1,20181209,20191214
77,1,1,1,1,1,1,1,20181209,20191214
78,1,1,1,1,1,1,1,20181209,20191214
79,1,1,1,1,1,0,0,20181209,20191214
80,1,1,1,1,1,1,0,20181209,20191214
81,1,0,0,0,0,1,1,20181209,20191214
82,1,1,1,1,1,1,1,20181209,20191214
83,1,1,1,1,1,1,1,20181209,20191214
84,1,1,1,1,0,1,1,20181209,20191214
85,1,1,1,1,1,0,0,20181209,20191214
86,1,1,1,1,1,1,0,20181209,20191214
87,1,1,1,1,1,0,1,20181209,20191214
88,1,1,1,1,1,1,1,20181209,20191214
89,1,1,1,1,1,1,0,20181209,20191214
90,1,1,1,1,1,1,1,20181209,20191214
91,1,1,1,1,1,0,0,20181209,20191214
92,1,1,1,1,1,1,1,20181209,20191214
93,1,1,1,1,1,1,1,20181209,20191214
94,1,1,1,1,1,0,0,20181209,20191214
95,1,1,1,1,1,0,0,20181209,20191214
96,1,1,1,1,1,0,0,20181209,20191214
97,1,1,1,1,1,1,0,20181209,20191214
98,1,1,1,1,1,0,0,20181209,20191214
99,1,1,1,1,1,1,1,20181209,20191214
100,1,1,1,1,1,1,1,20181209,20191214
101,1,1,1,1,1,1,1,20181209,20191214
102,1,1,1,1,1,1,1,20181209,20191214
103,1,1,1,1,1,1,1,20181209,20191214
104,1,1,1,1,1,1,1,20181209,20191214
105,1,1,1,1,1,1,1,20181209,20191214
106,1,1,1,1,1,0,1,20181209,20191214
107,1,1,1,1,1,1,1,20181209,20191214
108,1,0,0,0,0,1,1,20181209,20191214
109,1,1,1,1,1,0,0,20181209,20191214
110,1,1,1,1,1,1,1,20181209,20191214
111,1,1,1,1,1,0,1,20181209,20191214
112,1,1,1,1,1,1,1,20181209,20191214
113,1,1,1,1,1,1,1,20181209,20191214
114,0,1,1,1,1,0,0,20181209,20191214
115,1,1,1,1,1,1,1,20181209,20191214
116,1,1,1,1,1,1,1,20181209,20191214
117,1,1,1,1,1,1,1,20181209,20191214
118,1,1,1,1,0,1,1,20181209,20191214
119,1,1,1,1,1,0,0,20181209,20191214
120,1,1,1,1,1,1,0,20181209,20191214
121,1,0,0,0,0,1,1,20181209,20191214
122,1,1,1,1,1,0,1,20181209,20191214
123,1,1,1,1,1,1,1,20181209,20191214
124,1,1,1,1,1,1,1,20181209,20191214
125,1,1,1,1,1,1,0,20181209,20191214
126,1,1,1,1,1,0,0,20181209,20191214
127,1,1,1,1,1,0,0,20181209,20191214
128,1,1,1,1,1,0,0,20181209,20191214
129,1,1,1,1,1,1,0,20181209,20191214
130,1,1,1,1,1,1,0,20181209,20191214
131,1,1,1,1,1,1,1,20181209,20191214
132,1,1,1,1,1,0,1,20181209,20191214
133,1,1,1,1,1,0,0,20181209,20191214
134,1,1,1,1,1,0,1,20181209,20191214
135,1,0,0,0,0,0,0,20181209,20191214
136,1,1,1,1,1,0,0,20181209,20191214
137,1,1,1,1,1,1,1,20181209,20191214
138,1,1,1,1,1,1,1,20181209,20191214
139,1,1,1,1,1,1,1,20181209,20191214
140,1,1,1,1,1,1,1,20181209,20191214
141,1,1,1,1,1,1,1,20181209,20191214
142,1,1,1,1,1,0,0,20181209,20191214
143,1,1,1,1,1,1,1,20181209,20191214
144,0,0,0,0,0,1,0,20181209,20191214
145,1,1,1,1,1,1,1,20181209,20191214
146,0,1,1,1,1,1,0,20181209,20191214
147,1,1,1,1,1,0,0,20181209,20191214
148,1,1,1,1,1,0,0,20181209,20191214
149,1,1,1,1,1,0,0,20181209,20191214
150,1,1,1,1,1,0,1,20181209,20191214
151,0,0,0,0,1,1,1,20181209,20191214
152,1,1,1,1,1,0,1,20181209,20191214
153,1,1,1,1,1,0,0,20181209,20191214
154,0,0,1,0,1,1,0,20181209,20191214
155,1,1,1,1,1,0,0,20181209,20191214
156,1,1,1,1,1,0,0,20181209,20191214
157,1,1,1,1,1,0,0,20181209,20191214
158,1,1,1,1,1,1,1,20181209,20191214
159,1,1,1,1,1,0,0,20181209,20191214
160,0,0,0,0,0,0,1,20181209,20191214
161,1,1,1,1,1,0,0,20181209,20191214
162,1,1,1,1,1,0,0,20181209,20191214
163,1,1,1,1,1,1,1,20181209,20191214
164,1,1,1,1,1,1,1,20181209,20191214
165,1,1,1,1,1,0,0,20181209,20191214
166,1,1,1,1,1,1,1,20181209,20191214
167,1,1,1,1,1,0,1,20181209,20191214
168,1,1,1,1,1,0,0,20181209,20191214
169,0,0,0,0,0,1,1,20181209,20191214
170,1,1,1,1,1,0,1,20181209,20191214
171,1,1,1,1,1,0,0,20181209,20191214
172,1,1,1,1,1,1,1,20181209,20191214
173,1,1,1,1,1,1,1,20181209,20191214
174,1,1,1,1,1,0,0,20181209,20191214
175,1,1,1,1,1,0,0,20181209,20191214
176,1,1,1,1,1,1,1,20181209,20191214
177,0,0,0,0,0,1,0,20181209,20191214
178,1,1,1,1,1,0,1,20181209,20191214
179,1,1,1,1,1,1,1,20181209,20191214
180,1,1,1,1,1,0,0,20181209,20191214
181,1,1,1,1,1,0,0,20181209,20191214
182,1,1,1,1,1,1,1,20181209,20191214
