route_id,service_id,trip_id,trip_short_name
1,1,2872,R
2,2,9473,R
3,3,9008,R
4,4,5052,R
5,4,4205,R
6,4,4206-1,R
7,5,4303,R
8,4,4335,R
9,6,4331,R
10,7,4074,R
11,8,4361,R
12,9,4308,R
13,4,5101,R
14,4,5110,R
15,4,7569,R
16,10,1590,IR
17,6,9477,R
18,6,9476,R
19,4,36313,R
19,4,36329,R
20,9,4084,R
21,11,4321,R
22,12,4322,R
23,4,4452,R
24,4,36326,R
25,9,4340,R
26,4,2611,R
27,4,5311,R
28,4,5213,R
29,6,2381,R
30,4,4083,R
31,13,3620,R
31,9,3628,R
32,4,3629,R
33,9,3627,R
33,14,3637,R
33,4,3635,R
31,9,3622,R
34,9,3640,R
35,9,3641,R
36,4,9576,R
37,4,9552,R
38,9,4044,R
39,9,4375,R
40,9,4376,R
38,9,4046,R
41,4,4532,R
42,15,2423,R
43,16,4584,R
44,9,3633,R
45,4,6444,R
46,4,9368,R
47,4,9343,R
48,17,7375,R
49,4,5743,R
50,4,2569,R
51,18,8371,R
52,19,4362,R
53,4,9578,R
54,4,8121,R
55,4,6503,R
56,4,4544,R
57,20,1593,IR
58,21,9448,R
59,22,1942,IR
60,4,8151,R
47,23,9345,R
61,6,2386,R
62,24,8804,R
63,4,3074,R
64,17,2083,R
65,4,7364,R
66,4,37656,R
15,4,7575,R
67,4,5022,R
68,4,4454,R
69,4,346-1,IR
70,21,1819,IR
71,4,6502,R
72,4,9553,R
73,23,9666,R
74,4,7031,R
42,25,2421,R
75,26,7385,R
76,4,8580,R
56,4,4546,R
77,4,2203,R
78,10,1684,IR
79,27,4525,R
80,4,3010,R
81,9,4108,R
82,4,5570,R
83,4,4653,R
84,4,4334,R
85,28,3623,R
86,4,5462,R
87,4,5201,R
88,29,2085,R
89,21,1547-2,IR
90,4,1832,IR
91,23,9346,R
92,30,1643,IR
93,4,9358,R
94,24,8807,R
95,31,2724,R
96,32,1095,IR
97,4,1692,IR
98,9,4311,R
99,4,9301,R
100,4,5523,R
101,4,3116,R
102,23,9167,R
103,4,4511,R
104,4,5723,R
105,33,4705,R
106,4,4650,R
107,4,5508,R
108,34,9170,R
109,21,1818-1,IR
110,4,1667,IR
111,35,1695,IR
112,4,1781,IR
113,4,1831-2,IR
114,1,2873,R
115,10,1682,IR
116,4,9005,R
43,6,4580,R
117,36,1774,IR
118,24,8806,R
119,4,9135,R
120,37,1968,IR
121,6,9485,R
122,4,6412,R
123,4,9613,R
124,4,9351,R
125,38,1995-2,IR
126,4,1749,IR
127,4,5207,R
25,4,4342,R
128,21,1723,IR
129,6,9383,R
130,4,5605,R
131,4,9610,R
132,4,9107,R
133,4,4547,R
38,4,4042,R
134,39,1004,IR
135,17,9580,R
136,40,4310,R
137,41,5628,R
138,4,4082,R
11,42,4367,R
137,41,5626,R
139,4,2311,R
140,4,5720,R
141,21,1794,IR
142,4,9573,R
143,4,6812,R
144,43,1861-2,IR
58,4,9440,R
145,4,1691,IR
146,4,5711,R
147,4,3005,R
148,4,9022,R
149,4,3089,R
150,38,1988,IR
151,4,5524,R
152,21,1521,IR
153,44,7584,R
154,4,5303,R
155,4,3007,R
156,24,1953-2,IR
157,4,8586,R
158,4,4701,R
159,4,2502,R
160,4,8444,R
161,4,1638,IR
162,4,9434,R
163,4,4520,R
164,4,9611,R
132,4,9105,R
165,45,1543-2,IR
166,46,8036,R
167,23,9382,R
168,4,3072,R
169,9,4045,R
170,4,3535,R
171,47,9122,R
172,48,2700,R
173,34,8656,R
174,22,1996,IR
175,47,2854,R
169,4,4043,R
176,4,9159,R
177,9,4314,R
178,49,1821,IR
179,34,1992,IR
180,4,4411,R
137,41,5624,R
181,50,9530,R
182,4,2567,R
183,21,1538,IR
184,23,2708,R
185,51,3076,R
186,4,9063-2,R
187,9,4085-2,R
133,4,4543,R
188,6,9480,R
189,4,9024,R
190,44,7401,R
191,29,2088,R
192,4,2042,R
193,6,3514,R
86,4,5468,R
194,52,1744,IR
195,4,9575,R
196,17,9347,R
197,4,1384-1,R
81,53,4104,R
198,4,4501,R
199,4,5209,R
200,54,1756,IR
2,55,9475,R
91,23,9344,R
201,23,5026,R
202,56,9696,R
203,57,8025,R
204,4,6313,R
205,4,9003,R
206,4,3023,R
207,4,1838-1,IR
208,4,2235,R
209,21,1894,IR
170,23,3533,R
210,34,1944-1,IR
211,21,2071,R
163,4,4516,R
212,58,1738,IR
213,59,8204,R
166,43,8034,R
214,60,8654,R
215,4,4531,R
7,9,4301,R
216,4,9388,R
217,20,1594,IR
123,23,9615,R
218,4,5561-2,R
219,4,5424-1,R
172,4,2704,R
220,4,5433,R
221,61,2384,R
222,4,8014,R
223,62,9061-2,R
224,4,7361,R
225,17,1579,IR
202,63,9694,R
226,4,4146-1,R
227,20,1529,IR
228,4,4094,R
229,9,3084,R
230,4,1662,IR
231,21,1811,IR
232,3,9006,R
110,21,1665,IR
233,4,5461,R
234,21,1789,IR
235,64,4365,R
236,23,9504,R
237,45,4517,R
82,4,5564,R
238,4,367-2,IR
38,4,4048,R
239,4,9163,R
240,4,4106,R
241,4,9572,R
242,65,1588,IR
243,66,1984,IR
244,4,2068,R
245,4,4537,R
246,67,8389,R
247,4,1061,R
248,68,1582,IR
249,4,2307,R
250,4,2048,R
251,4,2183,R
38,9,4092,R
252,69,1630,IR
253,4,2063,R
77,17,2215,R
254,21,1545-2,IR
255,70,1986,IR
256,4,5214-1,R
257,71,1555,IR
258,4,4302,R
259,72,8653,R
260,4,4135-2,R
261,73,9026,R
262,4,5208-1,R
263,4,2606,R
264,4,9557,R
265,4,1748,IR
43,6,4586,R
266,34,1926,IR
267,4,1632,IR
268,4,5738,R
46,17,9372,R
269,4,4507,R
268,4,5736,R
270,4,5072,R
271,6,9486,R
272,74,2703,R
273,4,5638,R
274,23,3532,R
275,21,1720,IR
276,4,9616-1,R
277,4,4101,R
26,4,2603,R
250,4,2046,R
278,4,2101,R
175,75,2860,R
279,6,1550-1,IR
108,4,9164,R
280,4,1639,IR
281,21,1863-2,IR
282,4,4111-2,R
283,4,2416-1,R
284,46,8033,R
285,4,9381,R
286,76,1548,IR
58,52,9442,R
287,4,9106,R
288,4,5474,R
289,17,9139,R
290,46,1921-2,IR
141,4,1790,IR
291,23,2437,R
229,17,3612,R
292,4,2095,R
293,4,5005,R
294,4,5712,R
295,24,1924,IR
296,4,4103,R
86,4,5464,R
297,44,7585,R
298,10,1591,IR
38,4,4050,R
299,4,5612,R
300,4,7572,R
301,4,8123,R
302,4,1724,IR
303,4,6314,R
304,77,8809,R
233,4,5463,R
305,78,1771,IR
306,21,1833,IR
307,4,1693,IR
308,4,4506,R
309,4,7038,R
57,21,1595,IR
310,6,2076,R
311,6,2515,R
312,4,5565-2,R
77,4,2209,R
105,79,4305,R
313,17,4486,R
314,41,1064,R
315,61,1925,IR
316,4,5054,R
317,4,5304,R
318,80,9375,R
177,4,4316,R
319,4,1624,IR
29,23,2707,R
320,6,9386,R
321,4,4136,R
322,81,1589,IR
23,64,4070,R
323,82,9472,R
324,4,9608,R
325,83,3012,R
326,21,1834-1,IR
327,4,8122,R
66,4,37630,R
328,4,5471,R
91,23,9352,R
297,4,7587,R
329,21,8002,R
330,84,4528,R
331,85,3642,R
332,4,3543,R
333,75,9506,R
334,86,7381,R
335,4,2028-1,R
153,44,7588,R
336,4,4330,R
106,87,4656,R
112,4,1783,IR
337,4,6504,R
338,4,7037,R
339,4,8201,R
340,88,1552,IR
86,4,5460,R
341,4,3011,R
342,4,472-1,IR
343,47,9484,R
344,17,2075,R
269,4,4503,R
345,4,2415,R
346,21,9445,R
153,4,7586,R
318,6,9373,R
347,89,4654,R
348,4,9137,R
349,54,1654,IR
259,61,8657,R
350,23,1698,IR
351,4,4133-2,R
352,4,9669,R
353,4,1537,IR
354,4,1597,IR
355,4,4704,R
356,4,5053,R
357,17,2050,R
358,90,2594,R
359,4,1668,IR
14,4,5112,R
360,91,9389,R
361,4,5560,R
362,4,3017,R
56,4,4540,R
363,6,9501,R
364,35,1585,IR
365,4,5001,R
366,4,8592,R
367,4,5412,R
368,24,1931-2,IR
245,4,4533,R
369,45,9512,R
370,4,9064,R
213,92,8224,R
77,4,2211,R
371,4,5442,R
372,21,1891,IR
373,4,5402,R
374,62,9401,R
375,4,37647,R
284,43,8031,R
376,4,5423,R
377,4,5204-1,R
49,4,5739,R
378,4,72-1,IR
379,4,144-1,IR
380,4,3085,R
381,4,2039-2,R
382,83,3003,R
311,45,2513,R
383,21,1655,IR
384,6,2029,R
385,4,9111,R
386,4,3115,R
387,4,3004,R
388,4,1752,IR
389,4,2501,R
390,21,1743,IR
391,93,9123,R
71,4,6506,R
392,6,9051,R
393,55,2857,R
394,94,4423,R
395,4,2038,R
247,4,1063,R
396,21,1574,IR
397,95,2481,R
107,4,5502,R
398,75,3122,R
399,96,4143,R
400,4,7566,R
401,97,1887,IR
402,4,8443,R
403,21,1546,IR
404,4,3547,R
405,4,6415,R
406,98,2709,R
407,4,9021,R
408,4,5584,R
82,4,5566,R
329,99,8024,R
409,4,2103,R
141,4,1786,IR
410,4,3086,R
411,6,2564-1,R
412,4,5076,R
413,100,8370,R
414,4,5706,R
108,4,9160,R
415,4,4412,R
416,4,380-1,IR
417,45,9190,R
246,101,8397,R
418,102,1642,IR
419,4,6827-2,R
56,4,4548,R
209,4,1890,IR
420,23,5021,R
246,43,8385,R
421,4,1859,IR
422,55,9533,R
423,4,2070,R
181,4,9532,R
424,6,9192,R
425,75,2086,R
67,4,5024,R
426,4,402-1,IR
427,4,5210,R
141,4,1782,IR
23,103,4076,R
428,4,5613,R
429,4,9618-1,R
